The Schools extracted from The CSV File
School [Name=﻿Name , Lat=lat , Lng=lng , Rate=rating]
School [Name=Moletsane Secondary School , Lat=-26.2545499 , Lng=27.85119 , Rate=5]
School [Name=BHUKULANI HIGH SCHOOL , Lat=-26.233524 , Lng=27.867531 , Rate=4.7]
School [Name=St Matthews School , Lat=-26.259996 , Lng=27.881219 , Rate=3.8]
School [Name=Adelaide Thambo School , Lat=-26.2488437 , Lng=27.8764192 , Rate=3]
School [Name=Naledi High School , Lat=-26.2506089 , Lng=27.831194 , Rate=3.6]
School [Name=Mapetla High School , Lat=-26.27364 , Lng=27.84619 , Rate=3]
School [Name=Meadowlands High School , Lat=-26.215708 , Lng=27.895514 , Rate=3.3]
School [Name=Phafogang Secondary School , Lat=-26.2673203 , Lng=27.8671981 , Rate=2]
School [Name=Ditau Primary School , Lat=-26.24879 , Lng=27.92174 , Rate=5]
School [Name=Immaculata Secondary School , Lat=-26.2527729 , Lng=27.942053 , Rate=4.5]
School [Name=Aurora Girls High School , Lat=-26.2401746 , Lng=27.8470472 , Rate=4]
School [Name=Megatong Primary School , Lat=-26.27573 , Lng=27.8514 , Rate=4]
School [Name=Forte Secondary School , Lat=-26.2144492 , Lng=27.8672428 , Rate=3.8]
School [Name=Daliwonga Secondary School , Lat=-26.2320407 , Lng=27.8891019 , Rate=4.2]
School [Name=Curtis Nkondo School Of Specialization , Lat=-26.2391627 , Lng=27.8221496 , Rate=4]
School [Name=Morris Isaacson High School , Lat=-26.24608 , Lng=27.872452 , Rate=4.5]
School [Name=Saint Martin De Porres High School , Lat=-26.22805 , Lng=27.91265 , Rate=4.8]
School [Name=Anchor High School , Lat=-26.219638 , Lng=27.914014 , Rate=3.8]
School [Name=Rebone Primary School , Lat=-26.25611 , Lng=27.81666 , Rate=3.5]
School [Name=Altmont Technical High School , Lat=-26.2812357 , Lng=27.8424725 , Rate=4.8]
School [Name=Glenridge Primary School , Lat=-26.2737423 , Lng=27.7893531 , Rate=5]
School [Name=Nomzamo Madikizela Mandela Primary School , Lat=-26.186226 , Lng=27.831177 , Rate=0]
School [Name=St Peter Claver Catholic School , Lat=-26.2720959 , Lng=27.900649 , Rate=2.5]
School [Name=Noordgesig Secondary School , Lat=-26.22825 , Lng=27.93543 , Rate=4]
School [Name=Saint Ives Primary School , Lat=-26.2950999 , Lng=27.87319 , Rate=4.8]
School [Name=Lufhereng High School , Lat=-26.2319729 , Lng=27.7985155 , Rate=5]
School [Name=Silver Oaks Secondary School , Lat=-26.2902399 , Lng=27.91733 , Rate=4.6]
School [Name=Mayibuye Primary School , Lat=-26.2206825 , Lng=27.8185942 , Rate=2.7]
School [Name=Basa Primary School , Lat=-26.2745949 , Lng=27.804556 , Rate=2.4]
School [Name=Kliptown Primary School , Lat=-26.2953999 , Lng=27.88856 , Rate=5]
School [Name=Emndeni Primary School , Lat=-26.2429169 , Lng=27.821562 , Rate=0]
School [Name=Thulani Secondary School , Lat=-26.2168081 , Lng=27.8277375 , Rate=3.7]
School [Name=Winnie Madikizela-Mandela School , Lat=-26.2729123 , Lng=27.8689629 , Rate=5]
School [Name=Kwadedangendlale High School , Lat=-26.2347039 , Lng=27.844361 , Rate=4]
School [Name=Eldorado Park Primary School , Lat=-26.295086 , Lng=27.8976761 , Rate=2.5]
School [Name=Siyabonga Secondary School , Lat=-26.190839 , Lng=27.862424 , Rate=4.8]
School [Name=Forte High School , Lat=-26.214617 , Lng=27.866853 , Rate=4.8]
School [Name=Delrado Primary School , Lat=-26.3034453 , Lng=27.8948003 , Rate=4]
School [Name=Sivuleleni Primary School , Lat=-26.2351399 , Lng=27.84317 , Rate=4.5]
School [Name=Mxolisi Primary School , Lat=-26.23968 , Lng=27.86186 , Rate=0]
School [Name=Emisebeni Junior Primary School , Lat=-26.23742 , Lng=27.88147 , Rate=5]
School [Name=Klip Valley Primary School , Lat=-26.242442 , Lng=27.808396 , Rate=0]
School [Name=Adelaide Tambo School for the Physically Challenged , Lat=-26.2496042 , Lng=27.8760558 , Rate=0]
School [Name=Thakhisa Primary School , Lat=-26.2111451 , Lng=27.8810477 , Rate=4]
School [Name=Mafori - Mphahlele High School , Lat=-26.255799 , Lng=27.863304 , Rate=5]
School [Name=George Khosa Secondary School , Lat=-26.22159 , Lng=27.86087 , Rate=3.5]
School [Name=Hector Peterson School/Ukhozi Primary School , Lat=-26.2264033 , Lng=27.8492996 , Rate=0]
School [Name=Kholwani Primary School , Lat=-26.2428299 , Lng=27.852 , Rate=3.6]
School [Name=Indyebo Primary School , Lat=-26.23827 , Lng=27.84428 , Rate=0]
School [Name=Bafikile Primary School , Lat=-26.27106 , Lng=27.86843 , Rate=4]
School [Name=Ikusasalethu Secondary School , Lat=-26.1918497 , Lng=27.8313482 , Rate=0]
School [Name=Eldridge Primary School , Lat=-26.29739 , Lng=27.92046 , Rate=3]
School [Name=Dr Vilakazi High School , Lat=-26.238362 , Lng=27.830724 , Rate=4.1]
School [Name=Gazankulu Primary School , Lat=-26.2860799 , Lng=27.86421 , Rate=5]
